Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
343.2206,1.78,1,1,1,1,1,1
720.5791,1.77,1,1,1,1337246,1174394,1232239
139.0609,7.09,526870,521415,451148,467429,416383,365006
131.0495,8.38,380947,403545,365781,438172,442208,460985
165.0507,7.16,219325,503410,230721,203087,227935,292344
89.0479,7.63,358681,355013,356057,125729,136055,83130
637.9906,7.16,667985,662485,683545,700089,745358,891255
357.1994,1.74,3302,694,1830,2230,1,2651
543.4139,1.46,832757,976031,906059,925627,942847,952597
252.121,6.59,56518,64131,55030,58870,44099,23221
386.3875,2.03,1630942,1626020,1825377,522711,1635028,496696
662.4186,13.96,1346960,1269031,1175902,1171561,1279951,1195127
425.3258,2.39,1087736,907225,855946,21812,440729,908110
243.1835,1.25,314225,112921,219558,94581,55379,64523
168.0778,5.7,339663,521119,386026,308608,552728,111134
719.9939,7.16,740657,604368,651936,769966,901330,872088
649.4303,1.78,585613,648168,612077,131381,153777,96832
341.1323,8.37,376968,570627,318156,476893,278601,364110
728.6064,1.77,1,1,1,953157,1058786,1055475
222.0675,9.01,553800,634651,546694,314037,472405,248544
84.0404,8.38,375181,350159,296080,321522,314902,331302
712.6115,1.78,1,235191,1,1,1241620,1083923
535.6046,1.59,714552,682009,504314,606369,530353,559425
404.0024,8.87,553729,515451,530782,52971,66206,47980
315.1262,8.58,580764,420810,371147,300520,337087,311641
154.08,5.46,443213,333503,311624,500341,457480,559456
474.4396,2.51,715248,794075,516122,856833,762323,922023
738.5687,1.77,1,1,31636,1595569,1576498,1279763
148.0375,1.22,11116,22323,23667,31548,23913,25970
787.5371,5.57,1326492,1380073,1126279,301892,279565,268883
119.9589,6.8,565362,561461,541461,438683,546068,462511
694.5209,1.77,9745,1,1,1258995,1122888,995741
636.0564,7.14,594374,568788,584428,556332,390448,486251
788.6735,1.76,120633,1,1,726663,627777,656774
500.4552,2.44,937821,795840,961674,727147,669018,938164
710.5932,1.78,1279604,1098800,831871,1309299,1322265,1355350
318.143,8.21,671031,620525,148237,689413,614171,28290
176.0312,7.29,316820,512734,366758,347885,287816,296167
619.4302,1.36,5838,1,10630,1,1174,8178
795.6261,1.76,1552867,1582740,1855629,3149293,2779233,3217617
186.9914,7.15,469240,468546,560066,579332,277345,645662
418.2207,1.3,1,1,659147,16158,597506,562403
187.0631,6.55,437930,474199,441858,312797,380271,220086
861.6213,1.75,909975,969158,906602,460119,411091,430273
311.3549,1.74,237187,262736,251533,228708,250135,266056
472.0503,7.14,496276,248060,519026,519106,302589,397432
209.0993,8.87,675,1,1,407014,466146,308665
226.0411,7.15,386708,372067,402654,359332,248211,303766
368.0753,8.62,398,1,1,452281,509261,423885
337.3346,1.24,434349,169801,228229,164761,109892,131870
217.1314,6.71,475282,506164,444186,346020,399425,259248
331.887,6.8,461300,445337,400727,205293,573603,164715
390.0476,7.14,480761,494178,465740,509745,346479,406808
364.0982,7.88,840043,535630,475949,579959,529100,300530
75.0318,7.83,387760,403595,375082,246583,236175,135414
502.4708,2.42,716660,856789,743334,664585,833134,506086
171.1121,3.73,491321,376812,439150,296100,201878,226908
329.053,8.26,1,1,1,491539,504680,397130
637.9922,7.1,524208,531958,566209,576337,553223,576656
555.9883,7.16,513524,545949,549863,547427,590148,775854
257.1028,8.37,890199,769206,708768,424501,474954,236043
146.9965,7.19,408679,423658,384526,251852,355863,160106
465.5271,1.6,583884,262667,437432,26527,428288,411081
1011.0838,8.87,930262,945982,875888,9788,8029,9771
205.0483,8.7,1070689,1073112,905341,672102,838822,662033
224.2001,7.62,104961,772729,39656,1,1,1
401.3497,1.77,34255,2173,1,972,12697,3661
204.1223,7.97,231040,414095,423538,308177,345818,187802
105.0425,8.02,358800,352200,336091,176771,236283,159408
1438.0177,7.13,753854,797458,827633,819482,1240247,1073295
489.2566,1.24,20727,1,605747,1899,590767,530617
618.1187,8.87,1,1,587,788847,799759,614329
376.3192,1.46,480098,618271,616667,544019,606390,603196
411.3347,1.43,1006177,997069,894441,960839,795362,888132
