Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
246.1465,1.52,38758,27504,37941,28231,24534
246.147,1.38,30210,22406,15698,28811,13596
246.1946,0.36,5436,5237,3983,4343,4995
246.2192,1.88,6081,5791,5304,4194,3251
247.9695,0.36,17528,10304,18707,18724,18696
248.1484,0.36,5198,4930,6914,4143,6393
248.162,1.53,38504,43025,36253,32917,23654
248.1625,1.41,316446,240806,203949,203542,188061
248.2006,1.66,112251,91187,23840,77784,91155
249.0973,0.47,7349,7735,7980,8140,9591
249.9125,0.4,7982,6449,6974,7386,7290
249.9932,1.65,9375,7390,7721,6615,6356
250.0395,2.05,36384,33973,35775,30636,21292
250.1207,1.76,6269,4716,5277,2992,3906
250.1785,1.41,7057868,5552359,4662056,4309801,4055623
250.1786,1.47,1015045,730191,881523,843860,874801
251.2096,1.59,218161,197788,202113,199916,191651
251.2108,1.68,19040,78177,103355,9349,20031
251.9898,1.66,5484,5614,4538,4019,4004
252.1183,0.38,19697,20915,18266,18207,15181
252.1213,1.27,8683,13544,14324,13294,9719
253.0521,1.43,15995,13913,8487,7606,7460
253.1177,0.48,22269,21053,21491,18732,17934
253.1539,1.32,6926,14554,15676,17582,14923
253.1885,1.46,55577,42773,24050,31488,30216
254.1864,1.67,99757,76328,56728,65182,36815
255.0078,1.33,7567,9173,6203,8165,6430
255.1031,1.34,16946,14241,11827,11338,11113
255.1682,1.26,102052,85697,102289,105643,104087
255.1684,1.31,23309,24137,25739,33049,23701
255.2204,1.67,37590,36829,23204,25160,26319
255.2563,2.18,5163,6199,3849,5884,1616
255.2566,2.25,3889,4717,3849,3876,1686
255.2566,2.37,15900,14202,11371,11703,4125
255.2928,1.61,150898,140137,130237,132500,129957
256.0926,1.73,11065,11804,9220,8589,8130
256.1517,0.36,3059,4485,2591,3635,2972
256.1669,1.63,40495,96534,99461,58621,65465
257.1992,1.63,46688,38921,41491,38925,45778
257.1992,1.54,46688,5078,6161,3916,8202
257.2717,1.55,14936,13335,16278,15280,16784
258.0571,0.31,3875,2603,2857,3144,1945
258.2136,1.3,105213,115404,123788,126993,130658
259.172,0.36,10015,7906,9566,8313,11950
259.1783,1.34,9914,8806,7234,7811,7124
259.1786,1.64,25161,11246,21085,15436,28148
259.9657,0.49,3063,3042,3428,3473,3311
260.1238,0.37,23541,28809,25325,24328,26042
260.1372,1.27,27312,30170,31313,35783,41639
261.8337,0.63,21049,17854,16248,15288,14739
262.0177,0.54,7556,7045,8073,7019,7209
262.139,0.39,128549,136518,119631,140290,134441
262.154,0.49,6020,5248,6476,5159,5013
262.1781,1.59,21111,21422,8441,26189,19785
262.1781,1.58,84060,40273,26009,16650,118825
262.1787,1.53,74676,84905,118527,73168,118322
262.1787,1.43,28462,9358,11367,14990,17074
262.2157,1.73,44898,30035,33335,49662,27480
263.2465,1.88,6457,5462,4568,3510,2770
264.1108,1.32,33953,31698,24094,29317,26964
264.1574,1.47,68191,58699,51876,55330,55113
264.1575,1.39,43847,38173,34587,25733,29067
264.1942,1.5,209788,191942,165251,196073,176618
265.0032,0.79,18861,20649,22001,19422,19701
265.189,1.41,117734,90151,91048,69507,62606
