Mass (avg),RT (avg),10mM LG_unlabeled251,10mM LG_unlabeled253,10mM LG_unlabeled261,10mM LG_13C-labeled259,10mM LG_13C-labeled265,10mM LG_13C-labeled270
216.04,8.22,196316,167193,165588,125089,142420,103786
767.5451,2.22,451197,301851,407925,295994,264991,273645
311.0988,7.22,227765,205219,175321,117155,45584,29450
427.8457,1.44,31336,8361,3182,4956,9342,274376
289.0015,1.72,14451,12532,78047,18116,12231,22615
541.0616,8.75,230676,248362,216315,19841,24723,18362
800.0171,1.19,65842,71553,79562,77351,47689,80605
399.0329,8.51,188372,186674,206440,41769,49424,32202
134.0216,9.13,1,1,1,1,1,1
219.1107,6.41,185060,194539,174451,119036,166806,88506
801.5998,1.73,1,5553,5389,326250,347759,353958
896.5894,5.63,1,1,1,402646,329739,372505
784.035,7.12,214222,209783,220182,232818,267214,246734
305.1418,7.76,219331,217623,177580,151999,184715,102556
440.0931,8.4,78238,88210,71416,69484,85318,93475
360.0549,1.27,28790,17225,26330,65654,52405,61271
226.0696,1.35,22497,12251,28983,136038,81486,100729
406.1812,7.98,1163,2702,1480,163625,212166,105843
215.8873,1.95,1,558,1,1,1,1056
770.5992,1.73,1,1,1,361945,342261,348300
130.0064,5.46,113609,221765,308459,137905,253560,277434
776.5557,1.73,235688,221639,223521,1,1,1
299.9777,1.25,1,1,5027,1,1,1
374.0173,7.11,406031,412527,256161,434667,236105,480102
804.609,1.73,15939,1,16386,333316,328428,324821
312.1759,1.56,150701,253088,267163,149173,247536,179902
586.0539,9.53,1320,1,1,175353,245095,120175
368.1606,7.25,158197,186624,145084,87994,69768,88604
841.5816,1.73,288543,282777,287100,117608,119839,120317
1044.5613,7.14,155455,174013,189089,190580,332617,275226
117.079,7.08,147833,132889,135837,95206,88077,59454
243.0874,8.76,202018,39523,781810,668707,735687,433782
896.5897,1.74,1,5741,9171,296257,299946,277847
422.2334,1.25,12288,7724,5425,7810,10032,13625
794.5832,1.73,247426,246902,237077,1,1,1
105.0425,8.03,153606,146478,139986,82525,99457,69742
226.0321,7.14,173317,188067,149694,159142,239961,228269
922.0402,7.16,281058,284159,283374,304796,158842,197662
774.5422,1.49,252592,273681,236052,52605,56065,48439
942.0862,7.13,181302,175667,171982,178211,159876,160522
456.0207,7.12,388451,192514,151426,261563,248273,249983
311.0969,8.4,29019,1,1,316652,317481,100620
901.6068,5.63,7473,4391,1,327835,250437,289973
75.0311,7.06,35944,175845,173523,179784,52125,175727
131.0695,7.68,146640,159226,135731,95784,105403,55178
147.0532,7.32,129732,151016,129409,40961,33661,13614
290.0945,7.05,130144,126546,127267,143499,120251,124771
867.5968,1.72,273381,286909,280574,1,1,1
130.0632,1.77,116643,145512,50323,86254,93837,60387
843.5962,1.73,265241,301348,269924,1,1,1
134.0215,8.64,1,1,1,1,1,1
243.1835,1.25,110225,41785,70710,30880,15553,24596
368.0654,7.13,134685,114898,119650,119841,67846,96951
232.0891,7.23,156432,163176,78513,164004,3560,156977
209.9419,5.46,74523,158858,134752,49071,88509,10971
806.6166,1.73,1,11374,10289,244073,261801,246725
192.0271,8.4,42686,82620,50124,40177,95276,51235
676.0323,7.17,230942,115972,115294,130403,168672,159020
319.0684,8.39,8782,19417,16658,152027,147596,117778
798.587,1.73,24731,14932,23171,284770,262006,262516
132.0035,5.61,57164,117917,141373,1,17674,155093
222.0675,9.01,125785,156636,118290,70630,102478,37200
808.6217,1.73,1,4029,6289,175641,171399,171067
326.1918,1.55,182297,207077,15529,164025,283803,162292
789.5296,1.73,1,1,455154,1,1,1
745.5616,2.3,1,314764,136122,267274,379695,435552
