Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
290.9518,0.81,20148,9184,1948,18998,20461
291.8629,0.33,5999,6893,6893,5481,6371
291.8814,0.5,11300,10640,9470,12315,10945
291.9363,0.54,9520,10438,10731,10806,10256
292.0144,1.5,81229,80683,77316,80627,75107
293.8207,0.42,15852,18630,30909,25884,18230
293.8786,0.5,5571,3423,3851,4305,4041
293.9031,3.51,42983,36579,35433,25946,36126
293.933,0.53,8910,7523,10146,8398,9521
294.0568,0.35,3614,4378,3750,2362,4514
294.1215,1.3,3931,5678,4923,6723,4417
294.183,1.63,9513,9603,6831,7730,9964
294.1859,2.48,,8110,10111,8627,7605
294.1864,2.44,12737,8174,10111,8631,7605
294.2193,1.81,5173,2511,4130,3076,253
295.0722,1.52,4393,3881,5755,5980,5552
295.0733,1.62,4011,4555,3111,4158,4260
295.8113,0.34,4074,4516,3226,3599,3185
295.8208,0.42,3060,878,783,13064,1230
295.8221,0.42,14016,13315,21595,13452,1724
295.8982,0.5,5158,5164,4337,4883,5287
295.9609,0.3,6976,6166,6523,6599,6433
296.0928,0.35,1392,1448,1122,1059,897
296.2347,1.82,3015,2314,3713,3225,1591
296.235,1.78,32859,33658,30163,28807,28905
296.2354,1.74,5077,5480,4038,3809,4135
297.8958,0.5,2895,2711,2471,4106,4248
297.8974,0.33,18214,22050,19737,19688,20592
297.9884,1.46,49831,18930,12454,40700,49681
297.9884,1.46,6198,47434,34967,8230,47734
297.9886,1.46,43541,47781,34835,41592,47800
298.0038,1.6,16728,4177,2118,49566,53604
298.0051,1.55,38578,40254,56661,13367,32021
298.1598,2.23,49416,67775,54893,54198,3995
298.16,2.24,9014,24156,38544,46319,24874
298.1602,2.23,7874,67683,72402,46319,51968
298.1605,2.17,53397,67683,3438,12768,8799
299.1214,0.34,3978,4585,3478,4322,6017
299.8939,0.32,12014,14409,14675,13532,13770
299.9499,1.77,31610,23349,25312,20795,31761
299.9504,1.74,360337,358275,359756,341633,341745
299.9504,1.83,8290,9284,14160,31668,3121
300.1638,0.54,4329,3530,4722,3896,3385
300.2675,2.41,4799,5368,6307,5648,5599
300.9797,0.83,13375,15367,13906,13531,10773
301.946,1.73,21837,20589,21447,23670,21252
301.9989,1.58,61639,47008,61255,11205,25829
302.1724,1.92,1271,1070,1749,2312,1123
303.8426,0.33,2299,2421,2879,2417,2246
304.0142,1.56,43876,39687,36834,42373,34287
304.0417,0.49,3801,4299,3528,5586,2893
304.1157,1.27,4214,4064,3172,5566,3989
304.2397,2.17,12447,10100,8651,8981,7088
305.8399,0.33,3007,2509,3262,2905,2716
305.9187,0.3,1914,1882,2790,2758,2295
306.03,1.53,57311,58606,46106,45311,31464
307.9262,0.32,24682,25043,24595,23927,24912
309.1057,0.35,6487,5462,3219,6568,5855
309.9239,0.32,8484,9836,9027,8692,9526
310.0051,1.55,63033,22933,4933,54349,57629
310.0053,1.55,63033,52763,54856,16806,14805
310.1085,1.64,3296,3660,2701,2735,3085
310.1779,1.65,4805,4423,5914,4419,4075
310.2141,1.7,7693,8835,9127,8843,5726
311.0095,0.84,20143,19687,19472,12460,19648
312.0202,1.56,34425,10892,14507,10220,36467
312.1474,1.34,17991,18991,18055,15971,17279
312.1552,0.34,1050,1726,1706,1383,1037
312.176,2.34,43686,105722,34665,34622,106778
312.1761,2.34,41293,39316,121041,128961,48537
312.2296,1.68,5463,6863,2471,2887,14886
312.2302,1.75,19568,15730,18219,14102,18924
313.8703,0.32,2885,3286,2356,2198,2880
314.0588,0.49,6563,6719,5976,5311,6310
314.2458,1.8,6182,3436,3753,4255,2988
315.9582,3.34,5205,5648,6663,6110,5489
315.9959,1.59,13020,15098,9941,15068,6550
316.1891,1.56,3760,3485,5294,4892,4241
316.2613,1.74,22393,21836,21860,19811,21442
317.9555,0.31,61892,60932,56971,59461,63795
318.0657,1.68,3350,4402,4727,3539,4556
319.0545,0.5,2053,1967,2959,2808,2428
319.9595,0.31,2068,2264,2146,2441,2101
319.9604,0.48,10075,9326,9781,9518,10023
320.2352,1.83,107644,109815,102793,99455,98249
320.2352,1.82,37652,16111,30370,42404,123427
322.0263,1.48,12319,11895,12830,17902,8634
322.1541,1.56,6571,6778,7289,9572,9726
322.2505,1.83,8844,12959,12389,11391,11923
323.8629,0.41,17504,5389,13832,18793,10136
324.0209,1.55,73984,72447,62071,76421,76776
324.1937,1.67,7061,6209,5423,4932,4079
325.7692,0.39,37035,36052,10080,39082,10296
325.7692,0.38,24143,7713,12930,38641,11861
326.17,0.34,1713,2061,2246,1934,2475
326.1912,2.49,89591,42847,44785,60324,16468
326.1913,2.43,89363,74260,35226,14633,23568
326.1913,2.69,1192,1972,2467,4691,23881
326.1914,2.37,41157,70417,15889,20235,24652
326.1914,2.54,13718,35318,95284,20442,41599
326.1914,2.33,74946,11774,15805,20148,19096
327.0959,0.67,9657,6881,8915,11555,11127
327.9102,0.3,2122,2067,2281,2275,2615
328.2407,2.11,10086,7091,6082,5864,5635
329.7633,0.38,55114,53684,52195,56579,52266
329.9263,0.49,3436,14601,7965,4830,10196
329.9613,1.26,3037,2456,3541,3136,2772
330.0159,1.57,27605,40548,22683,17533,19136
330.2403,1.51,5565,8819,7176,4634,9089
330.2542,2.28,2033,496,1035,1201,
332.8763,3.52,7058,6013,6970,8275,6716
333.1323,1.26,6338,7495,4892,9285,6909
333.9281,0.31,5418,5135,5709,5509,6094
333.9444,1.38,5150,4952,3608,4172,3223
334.1023,0.5,2738,3330,2641,2432,3294
334.1767,0.34,2412,2404,2851,2305,2544
334.2138,1.51,1794,900,19912,533,2001
334.214,1.6,18187,20865,24447,20178,13548
334.2142,1.66,92228,86654,106142,101889,102353
334.2149,1.71,4247,3465,1152,1242,1005
335.1335,0.34,1141,1169,1596,1267,1245
336.0216,1.6,34750,28978,22937,35794,21574
336.2294,1.76,2630,2516,3263,2640,1129
336.23,1.66,77377,81890,84258,81677,80199
336.23,1.71,7977,9951,5258,7646,3297
336.2301,1.63,9579,10447,10743,9986,9127
337.1267,1.29,4307,4198,4163,3959,3387
338.0364,1.58,17361,61171,43513,40726,10529
338.0369,1.57,41422,28236,21896,48944,42073
338.0511,0.5,12361,11087,9667,10012,10405
338.0518,0.37,5980,4613,12335,2670,5962
338.1489,1.48,4026,4501,4976,4853,4019
338.246,1.64,10359,15026,12331,11928,13979
338.2464,1.69,3000,2829,2503,1560,1696
339.7927,0.34,12862,12479,12275,12692,12980
339.9937,1.61,14297,14855,12241,11405,12744
340.207,2.49,48415,55861,2919,2489,
340.2072,2.66,,41125,30491,31852,36844
340.2073,2.6,23027,41072,30491,31833,36768
340.2074,2.7,,56046,7985,40595,44518
340.2078,2.54,23054,41063,30438,31719,
340.9038,0.5,4580,5759,4676,1702,2790
341.9044,0.5,2577,3700,6475,7122,8972
342.0109,1.6,91519,77727,61246,79358,107379
344.2345,1.79,16447,17277,16293,15780,13680
344.2353,1.84,17914,19031,17704,17344,18341
344.8999,3.51,12576,8587,9414,8861,7589
345.8267,0.33,7960,7405,6835,6850,7681
345.8974,0.49,4811,4799,2922,5594,5632
346.1631,1.39,8164,7195,6439,4769,4250
346.2505,1.82,12629,13068,12340,7680,4685
346.2526,1.93,4725,3519,3401,2434,1473
347.8244,0.34,10265,11422,10837,11964,10588
348.1791,1.92,35864,31059,31432,31965,32604
348.2669,1.91,3929,3365,4309,4871,5016
350.0684,0.31,2025,2056,2322,1777,2175
350.2098,1.55,13672,18950,22714,21082,5228
351.7742,0.35,1798,2621,1353,3627,2217
352.0521,1.58,13250,18579,18600,12627,20366
352.1172,0.34,1060,798,831,970,1376
352.2246,1.54,14706,26503,18447,36111,36439
352.2248,1.63,13025,41143,15572,22338,18928
353.9198,0.32,1143,1607,1115,1513,1494
354.013,1.62,29510,31840,15605,18961,28312
354.2393,1.56,7512,1582,10966,17971,8249
355.7772,0.43,6309,3224,8383,3373,8004
355.8556,0.33,9923,9428,8649,9391,9475
356.0266,1.6,67435,31364,65576,11387,65012
356.0272,1.58,34596,59235,12614,58335,17127
356.1653,2.44,7155,12285,11335,5552,5139
357.8532,0.33,8462,9266,9159,8534,7856
358.0389,0.5,2704,2936,,2934,2668
359.895,3.52,6945,7284,5254,6257,6548
360.0328,0.49,2487,2934,2232,,2680
360.2304,1.66,27680,27491,25748,27272,26550
361.2336,1.64,14385,18619,7148,16374,17275
362.0183,1.58,25406,33428,62924,26906,16496
362.2456,1.65,10994,10156,9509,7204,10467
363.798,0.34,2977,2639,2277,1777,2539
363.9478,0.31,7629,8794,9246,9369,9806
364.0159,1.63,52602,2297,29838,20596,51078
365.8849,0.32,10406,10994,11468,10056,11481
365.9471,0.3,2154,2395,2774,3003,2221
366.2766,1.88,10795,7841,10741,7118,8381
367.8819,0.33,7367,7778,7590,7728,7607
368.1131,0.35,5552,7995,6440,6052,8004
368.1657,1.63,61612,69990,70581,69940,73803
368.1989,1.5,30466,28588,10439,25771,24373
368.2193,1.52,32777,35395,15145,27684,26441
369.8786,0.33,2144,1473,1730,2141,1919
370.0428,1.58,30702,30875,38096,29535,26815
370.1811,1.77,38931,4665,2715,24280,23259
370.1812,1.75,26507,26963,22855,19266,21244
370.1813,1.67,12579,12423,9300,9889,7241
370.1817,1.5,8141,9647,10196,9378,7660
370.1818,1.5,6030,9314,7391,1474,6924
370.2353,1.49,17803,16101,17274,17613,17943
371.0856,1.27,2703,3372,2433,2082,3250
371.2393,1.48,6393,6196,1102,7613,8155
372.0577,0.36,2798,2277,2088,2485,
372.9086,0.3,1852,1568,1990,1732,1740
374.1315,0.35,3998,4247,3988,3275,4335
375.1395,2.44,7557,8863,5575,3653,4252
