Mass,RT,SXT-col-ck-1,SXT-col-ck-2,SXT-col-ck-3,SXT-col-7d+13c6-phe-1,SXT-col-7d+13c6-phe-2,SXT-col-7d+13c6-phe-3,SXT-col-2d+13c6-phe-1,SXT-col-2d+13c6-phe-2,SXT-col-2d+13c6-phe-3
118.0267,1.38,499051.2924,546562.7684,531442.9833,4132016.217,4322825.483,4263395.895,709422.1406,633694.3867,498324.5744
502.23,13.8,1,4399257.459,4127239.238,1,1,1,3253209.087,2860160.553,1939423.091
792.4955,5.28,3820380.05,3809679.467,3829376.064,2589302.679,1406888.18,2019721.631,1740597.177,1552653.953,1789653.451
905.5797,5.56,3902565.452,3762393.585,3818991.429,2486564.09,1369623.899,1944241.275,1666469.795,1566238.795,1703668.607
490.2299,14.07,1656297.922,2220820.719,1394997.945,7933506.054,7128901.356,7412000.755,1,1,1
912.5467,14.27,1,1,1,413473.177,3264018.408,4809395.36,1,1,1
1072.2298,4.38,1304755.209,1629876.219,1441158.439,1696278.219,3296996.717,2494284.378,789310.7967,1142229.578,1406077.185
918.4982,14.95,1323358.11,199456.6775,1719129.085,467595.9939,434972.7484,474477.0159,10056405.1,8702982.561,332723.1913
450.2646,14.95,1,1,1,1,161703.0472,39373.16894,1,1,1
477.2849,12.52,3277363.928,2328596.427,1833157.973,944321.1312,1098582.214,924310.4809,988638.2305,1027875.18,1299033.039
1008.2034,3.1,958429.5343,688081.5213,835560.4028,3321449.761,3547893.135,3428097.781,801283.271,1099480.682,657312.419
541.3367,13.18,1443133.811,1012560.238,1232479.228,610656.69,797628.0596,726529.137,911876.9495,1443236.788,686574.6911
162.9763,2.09,1727444.684,686286.2207,1612305.128,1138513.33,1093920.296,2253611.617,1587218.2,1048546.251,1677140.368
854.583,5.54,2487553.247,2423062.626,2616146.235,3459575.506,2973379.078,3281522.267,3046699.085,3051632.667,3111225.789
545.1028,6.46,3059592.78,3055210.968,3156945.161,3070823.47,2928413.033,1764955.468,1531329.821,3169137.626,3237898.918
858.2572,5.23,2306180.778,2225511.013,2263377.138,1439808.114,1682076.385,1543490.198,1321853.239,1365032.551,1446696.316
306.104,2.37,792264.5799,719243.5651,725252.7291,87424.07198,861629.5052,868689.9167,1768210.276,3190180.493,2462319
596.296,12.41,2815915.866,1785340.026,2309232.748,2262314.441,3357187.386,2804538.796,906243.1855,1020134.556,1047150.845
497.085,4.13,2765608.203,2597039.35,2700764.777,1168872.517,1313690.65,1285123.824,2309007.981,2273288.459,1986659.61
940.6479,5.78,3596889.952,3531493.513,3631223.614,2811982.283,2072959.232,2469754.04,2260490.036,2135250.999,2222771.275
307.0835,8.44,294444.9625,209243.8435,263112.647,1786786.692,3059319.809,2408028.408,233576.6842,189347.3904,150622.6038
330.0953,3.81,2826253.255,2168896.617,2491006.921,679310.3897,496108.7736,586266.9937,2191781.261,2048722.87,1665993.771
396.1634,2.82,2325784.461,2034480.58,2198761.933,1903956.925,2035511.986,1966390.008,2451821.882,2734098.632,2178473.564
914.4681,13.34,2123078.656,1,2819742.709,1,516367.9356,1,1,1,1
268.2398,16.38,1,1,1,1,4995900.899,2416326.263,1,1,1
519.2592,11.53,3156733.164,1899015.104,2404944.323,613579.3378,573313.846,564325.8898,968598.5201,903563.7614,924466.239
756.2118,3.9,3004010.04,2938980.756,2971700.283,898010.5415,1204848.982,875424.5604,1662784.35,1541416.533,1714148.817
273.012,6.85,3107881.124,2242815.167,2670672.017,1421492.406,1673944.12,1525539.554,1507257.639,1390548.508,968767.8964
557.0724,6.36,1201298.249,1120268.358,1164212.1,2244493.713,2615232.783,2414278.113,1616621.114,1657774.244,1860844.571
563.3215,11.84,3314160.163,1777386.393,2391515.402,1195967.743,1687396.992,1381563.638,1238284.029,1729240.916,1317764.954
396.1267,2.82,746926.2016,866309.5028,809915.3498,2204031.396,2233086.245,1239240.555,938774.4569,1400236.161,1388473.833
173.105,4.05,2961414.124,2780968.472,2936533.88,1613258.845,1692411.664,1614660.088,1672565.784,1711846.54,2010584.068
792.5021,17.92,1951859.27,1978892.371,1834150.215,1817907.202,2083024.083,1890742.61,2718439.202,2963488.006,2930655.824
444.2542,17.8,3094048.851,2539852.003,2723261.355,2857305.409,437622.3511,1601263.308,349638.9436,369364.4006,389647.0034
111.0322,2.36,2361336.112,2210438.899,2332051.195,2517629.615,2397105.105,2463562.07,3154759.559,3182959.252,2816134.103
870.5007,14.37,1,355652.7996,1,3410156.291,1,1,1,1,12924.2291
504.2845,20.46,1,1,1,1,1272293.468,1295606.594,903.64913,1,1
424.1673,3.17,1,1,1122.400648,1573337.601,1386102.898,1494189.585,2742370.946,2409858.009,1863169.872
176.0322,1,18740.19466,22727.93965,19644.35183,8437.465675,3794.962651,1255.667575,149247.7435,105137.7856,292850.795
471.1323,6.24,1,1,1,1366972.022,1164562.484,1270017.424,2456492.824,2254419.076,1956748.3
495.1089,3.1,2578131.6,2090974.715,2308747.444,9451024.083,11664100.73,10457325.05,2409298.455,3000221.245,2212823.628
333.1107,7.58,1909414.088,2015722.018,2819808.002,1554948.677,1464115.013,1441239.578,1540953.816,1586423.45,1460996.276
546.0574,4.54,2678342.832,2733255.488,1194665.955,2682719.695,1375236.792,1525571.542,2168223.626,2084075.587,2126014.873
285.0943,3.46,1,292.7093066,1,613210.8779,510070.3029,490465.6144,2492648.614,2739541.614,2197219.023
154.0031,12.68,2980635.082,2018125.153,2561697.501,700966.0129,348938.2607,523066.9376,921446.8653,887075.8242,823529.579
504.2459,16.38,32869.28926,47611.89319,56342.49656,1,1380024.207,1411642.234,89078.33339,45152.49333,42060.72975
858.2539,6.79,1219238.711,1548581.591,1441864.184,985326.7797,2465029.507,2563957.837,945971.3922,1107822.47,1124222.742
138.0318,2.85,240615.2068,315658.1619,281089.7139,2195896.02,2689611.31,2436867.784,480429.9541,615618.1707,470511.8896
880.4845,13.7,2562539.594,2293249.089,2465907.016,746618.6572,181266.6379,1,1,1,1
636.423,16.4,1668403.783,2018705.84,1921257.488,1500629.634,463054.028,753023.964,1479497.867,2050095.583,2539751.012
886.4364,12.67,2587569.086,1888544.756,2336357.374,437736.522,168681.0283,264727.5819,826062.0302,749107.3368,699042.7153
254.2243,14.06,715463.9145,1204308.147,980675.0952,1,1,1,1,1,1
894.4988,16.4,1,1,1,1,3215868.834,779960.624,1,1,1
