Mass (avg),RT (avg),[Area] QC1-POS,[Area] QC2-POS,[Area] QC3-POS,[Area] QC4-POS,[Area] QC5-POS
429.8651,1.68,62871,63850,66130,64879,67211
430.4134,0.86,1726168,1746861,1664804,1625229,1571486
431.2724,0.54,30418,114360,114879,6211,105612
431.3036,1.18,38547,38508,40157,38947,39190
431.8618,1.68,23071,25967,24576,25861,27183
431.9976,1.78,2140930,2277165,2316879,2326507,2327939
432.2723,0.37,30345,70768,18166,67344,26477
433.0974,3.1,15633,17337,18859,14228,20419
433.1198,2.24,17150,19775,17463,17296,18069
437.4962,0.57,23740,25014,26869,23825,20139
438.2939,0.37,57658,72424,62746,61367,58668
439.1275,2.24,18255,17631,16384,16945,17687
439.315,0.38,119010,116279,109360,110231,103282
441.3309,0.38,1897723,1944464,1902394,1840763,1912818
441.9519,1.72,3962,3434,4062,6508,6925
442.2544,0.37,13967,16978,19005,18444,21910
443.9861,1.67,3499,3165,2504,4214,3498
444.2692,0.37,34496,52073,49401,44312,50639
444.3066,2.84,10721,25637,14241,15356,11534
444.4292,0.84,114464,118512,112701,116139,111558
445.2521,1.38,16132,10756,15664,16126,15856
445.2897,2.6,15929,16123,20862,17456,20908
446.2853,0.38,331224,340723,367117,345423,394190
446.3748,0.36,31734,35029,32977,27116,33296
447.1353,2.22,60663,61493,61871,62666,62998
447.9705,1.73,25082,30513,34539,35093,29999
447.971,1.83,12118,35739,42773,37774,13310
448.2452,0.37,21762,20024,15890,21045,19327
449.3139,1.19,28816,29620,31204,31236,31342
450.3211,0.36,22999,24833,24981,27405,24043
450.3688,0.37,25676,24088,22089,19815,26379
452.3197,0.36,36902,29230,33004,32454,35748
453.2953,0.37,18129,16194,19914,26850,29646
453.3662,0.51,75026,59570,68854,46481,39081
454.1456,2.22,18538,16485,18481,19638,18314
455.3117,0.37,287250,294173,270990,275996,289137
455.3608,0.51,154674,74647,80176,70154,114634
456.4293,0.84,1550729,1566329,1091615,1514145,1412792
457.291,2.54,12891,18034,15043,12931,11124
458.4448,0.82,1596202,1594908,1516199,1482572,1472380
