Mass (avg),RT (avg),[Area] QC1-NEG,[Area] QC2-NEG,[Area] QC3-NEG,[Area] QC4-NEG,[Area] QC5-NEG
738.5444,0.45,34118,25391,43809,31516,53762
747.9922,1.7,73153,73753,70443,78845,73382
749.9939,1.7,21127,19530,19344,18141,21181
758.0319,1.82,29200,35695,33793,42035,33455
762.5882,0.39,27691,48294,42852,29601,26893
773.103,1.78,17705,16187,6914,16451,17873
784.0335,1.79,113695,86959,81969,78335,72816
793.5385,0.44,102051,165777,88254,140933,147658
793.5389,0.61,219540,153917,70319,154939,240139
795.5488,0.61,203242,22420,193181,107705,10157
795.5496,0.45,60607,54328,88688,38631,25871
797.5514,0.46,26140,33345,97666,14204,17871
798.0488,1.68,149903,170783,179163,187634,193148
798.0489,1.81,855597,870441,757453,762734,762188
798.2059,1.76,2000,10941,,,10645
814.0222,1.69,219691,224162,219206,229798,205924
817.5847,0.38,254043,120699,133954,250822,146833
819.5522,0.45,76907,80198,31110,64034,71269
819.5985,0.38,62597,70976,54668,75617,99969
821.5694,0.48,239701,63778,59405,50578,86921
829.9966,1.7,51758,56351,57382,57349,53444
831.9962,1.7,22313,22633,20555,21346,21075
834.5255,1.13,34301,32681,27643,32657,32607
841.5825,0.38,123936,89813,129092,110593,83274
843.6004,0.38,46344,113936,105764,99249,78328
845.6158,0.38,172867,61605,83928,91304,76349
857.5792,0.38,20094,24337,29357,14265,15036
862.5568,1.11,76272,81517,82879,69722,88028
865.5833,0.38,28027,33215,28682,27387,32889
866.0358,1.76,70904,13083,51788,47414,49028
867.5974,0.38,34183,27516,33430,34823,23610
869.6141,0.39,47729,57867,61551,71197,44514
880.0526,1.81,732074,631094,650760,650108,650873
880.9004,1.73,12283,25727,18664,29282,19598
880.9008,1.6,87324,55365,78111,67952,95870
886.5561,1.09,153876,206467,227765,140253,200730
886.5577,0.46,47660,42389,32807,40655,29103
896.0264,1.7,162838,175926,171405,177318,172251
911.9997,1.69,41711,42555,45979,47505,49862
914.0014,1.7,21537,20123,19900,19208,19896
948.0404,1.79,12511,56674,33525,36452,28338
960.5757,1.09,62691,47470,47853,73678,71188
962.055,1.81,583072,515336,520239,516862,530667
962.557,1.8,41658,44476,37351,43454,41423
978.0281,1.69,143136,145887,148242,140363,152936
984.5739,1.09,160116,178212,158931,180883,157521
994.003,1.7,42186,61333,57153,59903,58475
1044.0574,1.8,351089,369422,382849,387757,384645
1044.5602,1.8,51178,49001,54721,57051,28081
1060.0321,1.69,116038,119385,104087,114450,121598
1060.5346,1.7,13509,17537,14726,6566,14809
1076.0056,1.69,50430,50147,51348,55412,50669
1091.9827,1.7,23694,20763,22325,11946,22893
2006.1131,1.81,105854,96414,160941,116864,169626
2170.1193,1.81,149163,161984,167836,123072,167396
